,OCCUR_DATE,BORO,0
502,2019-11-02,M,1
503,2019-11-02,SI,1
504,2019-11-03,Bk,1
505,2019-11-03,Q,1
506,2019-11-04,Bx,4
507,2019-11-04,Q,1
508,2019-11-05,Bk,2
509,2019-11-05,Q,1
510,2019-11-06,Bk,2
511,2019-11-06,Bx,1
512,2019-11-10,Bk,5
513,2019-11-10,Bx,1
514,2019-11-10,M,4
515,2019-11-12,Bx,1
516,2019-11-13,Bk,1
517,2019-11-13,Bx,1
518,2019-11-14,Bx,1
519,2019-11-14,M,3
520,2019-11-15,Bx,2
521,2019-11-16,Bk,1
522,2019-11-17,Bk,1
523,2019-11-17,Bx,2
524,2019-11-17,M,1
525,2019-11-19,Bk,1
526,2019-11-20,Bk,1
527,2019-11-20,Bx,4
528,2019-11-20,SI,1
529,2019-11-21,Bx,2
530,2019-11-23,Bk,2
531,2019-11-25,Q,1
532,2019-11-26,Bk,1
533,2019-11-27,Bx,9
534,2019-11-27,Q,1
535,2019-11-28,Bk,1
536,2019-11-28,Bx,1
537,2019-11-29,Bk,1
538,2019-11-29,Bx,1
539,2019-11-30,Bx,1
540,2019-12-01,Bk,2
541,2019-12-01,Q,1
542,2019-12-01,SI,1
543,2019-12-02,Bk,2
544,2019-12-03,Bk,1
545,2019-12-03,Bx,1
546,2019-12-04,Bk,2
547,2019-12-04,Q,1
548,2019-12-05,Bx,2
549,2019-12-06,Bk,2
550,2019-12-06,Bx,1
551,2019-12-07,Bk,1
552,2019-12-07,Bx,1
553,2019-12-07,Q,1
554,2019-12-08,Bx,1
555,2019-12-10,Bx,1
556,2019-12-10,SI,4
557,2019-12-11,Bk,1
558,2019-12-14,Bx,1
559,2019-12-15,Bk,1
560,2019-12-15,M,1
561,2019-12-16,M,1
562,2019-12-16,SI,1
563,2019-12-18,M,1
564,2019-12-18,Q,1
565,2019-12-19,Bk,1
566,2019-12-19,M,1
567,2019-12-19,Q,1
568,2019-12-20,Bx,1
569,2019-12-21,Bk,2
570,2019-12-21,Bx,1
571,2019-12-23,Bk,3
572,2019-12-23,Bx,2
573,2019-12-23,Q,1
574,2019-12-24,Bk,1
575,2019-12-25,Bk,2
576,2019-12-25,Bx,1
577,2019-12-26,Q,1
578,2019-12-27,Bk,1
579,2019-12-27,Bx,1
580,2019-12-27,Q,1
581,2019-12-28,Bk,1
582,2019-12-28,M,1
583,2019-12-28,SI,1
584,2019-12-29,Bk,1
585,2019-12-30,Bk,3
586,2019-12-31,Bk,1
587,2019-12-31,M,1
